epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.44273,0.96867,2.35547,1.28725,0.5825,0.85,0.87794,0.63386,1.64612,1.02987,1.37429,0,0,0
2,1.71295,1.24937,3.2656,1.64415,0.5905,0.85,0.88555,0.6506,1.67332,1.0186,1.38619,1.17822e-06,1.17822e-06,1.17822e-06
3,1.98938,1.35173,3.63818,1.61392,0.59153,0.85,0.8539,0.63388,1.69058,1.01444,1.3917,2.33288e-06,2.33288e-06,2.33288e-06
4,2.24255,1.02728,2.75222,1.27609,0.57817,0.85,0.85443,0.63556,1.68823,1.01556,1.38325,3.46397e-06,3.46397e-06,3.46397e-06
5,2.54754,1.21086,2.72009,1.40624,0.58353,0.85,0.85594,0.63552,1.67436,1.01237,1.36612,4.5715e-06,4.5715e-06,4.5715e-06
6,2.92117,0.96804,2.61513,1.34643,0.57536,0.85,0.85719,0.6352,1.66459,1.01996,1.3611,5.65548e-06,5.65548e-06,5.65548e-06
7,3.28147,1.19683,2.11825,1.38007,0.56945,0.85,0.85656,0.62243,1.6735,1.02638,1.3669,6.71588e-06,6.71588e-06,6.71588e-06
8,3.64341,1.36664,2.83864,1.56359,0.56537,0.85,0.85934,0.62295,1.65578,0.99902,1.35762,7.75273e-06,7.75273e-06,7.75273e-06
9,4.00181,1.17694,2.9515,1.5128,0.58156,0.86199,0.86152,0.6239,1.65041,1.0153,1.35533,8.76602e-06,8.76602e-06,8.76602e-06
10,4.36269,0.93941,3.20649,1.48149,0.57952,0.86545,0.89611,0.62876,1.65508,1.01841,1.3574,9.75574e-06,9.75574e-06,9.75574e-06
11,4.72454,1.51704,3.21759,1.87043,0.5687,0.86667,0.89782,0.6242,1.64657,1.0323,1.35394,1.07219e-05,1.07219e-05,1.07219e-05
12,5.0917,1.236,2.76035,1.54125,0.60995,0.93734,0.90997,0.62315,1.66422,1.03532,1.36037,1.16645e-05,1.16645e-05,1.16645e-05
13,5.44639,0.96899,2.20199,1.18434,0.59852,0.94196,0.91117,0.64318,1.66969,1.03974,1.36132,1.25835e-05,1.25835e-05,1.25835e-05
